stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,level_id,platform_code
910GBRBY-1001038-Bus-1,,Bus,,51.54537,-0.20195,3,910GBRBY,L#0,
910GBRBY-1001038-Entr-3,,Entr,,51.54525,-0.20193,3,910GBRBY,L#0,
910GBRBY-1001038-RLY-4,,RLY,,51.54519,-0.2025,3,910GBRBY,L#0,
910GBRBY-1001038-RPL-E-2,,RPL-E,,51.54509,-0.20257,3,910GBRBY,L#1,
910GBRBY-1001038-RPL-W-5,,RPL-W,,51.54505,-0.20252,3,910GBRBY,L#1,
910GBRBY-Plat01-WB-london-overground,,Westbound Platform 1,,,,0,910GBRBY,,1
910GBRBY-Plat02-EB-london-overground,,Eastbound Platform 2,,,,0,910GBRBY,,2
910GBRBYPK,910GBRBYPK,Brondesbury Park,,,,1,,,
910GBRBYPK-Outside,,Outside Brondesbury Park,,,,3,910GBRBYPK,,
910GBRBYPK-1001039-BUS-3,,BUS,,51.54067,-0.20958,3,910GBRBYPK,L#0,
910GBRBYPK-1001039-Entr-2,,Entr,,51.54093,-0.2099,3,910GBRBYPK,L#0,
910GBRBYPK-1001039-RLY-4,,RLY,,51.54034,-0.2105,3,910GBRBYPK,L#0,
910GBRBYPK-1001039-RPL-E-5,,RPL-E,,51.54081,-0.21014,3,910GBRBYPK,L#1,
910GBRBYPK-1001039-RPL-W-1,,RPL-W,,51.54073,-0.21005,3,910GBRBYPK,L#1,
910GBRBYPK-Plat01-WB-london-overground,,Westbound Platform 1,,,,0,910GBRBYPK,,1
910GBRBYPK-Plat02-EB-london-overground,,Eastbound Platform 2,,,,0,910GBRBYPK,,2
910GBRENTX,910GBRENTX,Brent Cross West Station,,,,1,,,
910GBRENTX-Outside,,Outside Brent Cross West Station,,,,3,910GBRENTX,,
910GBRENTX-1002310-BusE-9,,BusE,,51.56822,-0.22401,3,910GBRENTX,L#0,
910GBRENTX-1002310-BusW-1,,BusW,,51.5678,-0.22647,3,910GBRENTX,L#0,
910GBRENTX-1002310-EML-11,,EML,,51.56817,-0.22515,3,910GBRENTX,L#1,
910GBRENTX-1002310-EntE-6,,EntE,,51.56844,-0.2241,3,910GBRENTX,L#0,
910GBRENTX-1002310-EntW-7,,EntW,,51.56793,-0.22621,3,910GBRENTX,L#0,
