UniqueId,StationUniqueId,AreaName,AreaId,Level,Lat,Lon,FriendlyName
910GBROCKLY-1001035-CEntr-2,910GBROCKLY,CEntr,2,0,51.46446,-0.03752,CEntr
910GBROCKLY-1001035-MEntr-5,910GBROCKLY,MEntr,5,0,51.46434,-0.03824,MEntr
910GBROCKLY-1001035-RLY-3,910GBROCKLY,RLY,3,1,51.46421,-0.03823,RLY
910GBROCKLY-1001035-RPL-N-6,910GBROCKLY,RPL-N,6,0,51.46402,-0.03797,RPL-N
910GBROCKLY-1001035-RPL-S-1,910GBROCKLY,RPL-S,1,0,51.46401,-0.03777,RPL-S
910GBROMLYS-1001037-Bridg-70,910GBROMLYS,Bridg,70,1,51.39994,0.0193,Bridg
910GBROMLYS-1001037-Bus-1,910GBROMLYS,Bus,1,1,51.40051,0.01692,Bus
910GBROMLYS-1001037-Con-71,910GBROMLYS,Con,71,1,51.40002,0.01742,Con
910GBROMLYS-1001037-Entr-90,910GBROMLYS,Entr,90,1,51.40002,0.0172,Entr
910GBROMLYS-1001037-RLY-4,910GBROMLYS,RLY,4,0,51.39997,0.01734,RLY
910GBROMLYS-1001037-RPL E-2,910GBROMLYS,RPL E,2,0,51.40005,0.01825,RPL E
910GBROMLYS-1001037-RPL W-3,910GBROMLYS,RPL W,3,0,51.39991,0.01823,RPL W
910GBRTWOOD-1000292-EntA-90,910GBRTWOOD,EntA,90,-1,51.61384,0.30015,EntA
910GBRTWOOD-1000292-EntK-6,910GBRTWOOD,EntK,6,0,51.61374,0.29929,EntK
910GBRTWOOD-1000292-FBdg-7,910GBRTWOOD,FBdg,7,0,51.61368,0.29939,FBdg
910GBRTWOOD-1000292-RLY-3,910GBRTWOOD,RLY,3,0,51.6136,0.29959,RLY
910GBRTWOOD-1000292-RPL-1-1,910GBRTWOOD,RPL-1,1,-1,51.6136,0.29959,RPL-1
910GBRTWOOD-1000292-RPL-2-2,910GBRTWOOD,RPL-2,2,-1,51.61362,0.29944,RPL-2
910GBRTWOOD-1000292-RPL-4-4,910GBRTWOOD,RPL-4,4,-1,51.6136,0.29957,RPL-4
910GBRUCGRV-1001040-Bus 1-1,910GBRUCGRV,Bus 1,1,0,51.5936,-0.06991,Bus 1
910GBRUCGRV-1001040-Bus 2-5,910GBRUCGRV,Bus 2,5,0,51.59463,-0.07046,Bus 2
910GBRUCGRV-1001040-Ent-N-7,910GBRUCGRV,Ent-N,7,0,51.59419,-0.07007,Ent-N
910GBRUCGRV-1001040-Ent-S-3,910GBRUCGRV,Ent-S,3,0,51.59411,-0.06983,Ent-S
910GBRUCGRV-1001040-RLY-4,910GBRUCGRV,RLY,4,0,51.59385,-0.06994,RLY
910GBRUCGRV-1001040-RPL-N-2,910GBRUCGRV,RPL-N,2,1,51.59351,-0.07017,RPL-N
910GBRUCGRV-1001040-RPL-S-6,910GBRUCGRV,RPL-S,6,1,51.59348,-0.07005,RPL-S
910GBTHNLGR-1001023-Entr-2,910GBTHNLGR,Entr,2,0,51.52389,-0.05948,Entr
910GBTHNLGR-1001023-RLY-3,910GBTHNLGR,RLY,3,0,51.52387,-0.05967,RLY
910GBTHNLGR-1001023-RPL-N-1,910GBTHNLGR,RPL-N,1,1,51.52384,-0.05992,RPL-N
910GBTHNLGR-1001023-RPL-S-4,910GBTHNLGR,RPL-S,4,1,51.52372,-0.05989,RPL-S
910GCAMHTH-1001044-Bus-1,910GCAMHTH,Bus,1,0,51.53253,-0.05759,Bus
910GCAMHTH-1001044-CAMBR-3,910GCAMHTH,CAMBR,3,0,51.53238,-0.05723,CAMBR
910GCAMHTH-1001044-RLY-5,910GCAMHTH,RLY,5,0,51.53233,-0.0576,RLY
910GCAMHTH-1001044-RPL-N-2,910GCAMHTH,RPL-N,2,1,51.53208,-0.05756,RPL-N
910GCAMHTH-1001044-RPL-S-4,910GCAMHTH,RPL-S,4,1,51.53211,-0.05735,RPL-S
910GCATFORD-1001053-Entr-4,910GCATFORD,Entr,4,0,51.44415,-0.02634,Entr
910GCATFORD-1001053-RLY-3,910GCATFORD,RLY,3,0,51.44437,-0.02619,RLY
910GCATFORD-1001053-RPL N-1,910GCATFORD,RPL N,1,1,51.44453,-0.02627,RPL N
910GCATFORD-1001053-RPL S-2,910GCATFORD,RPL S,2,1,51.44451,-0.02617,RPL S
910GCFPK-1001076-Bus-1,910GCFPK,Bus,1,0,51.45457,-0.03742,Bus
910GCFPK-1001076-EntB-5,910GCFPK,EntB,5,1,51.45536,-0.03686,EntB
910GCFPK-1001076-EntL-7,910GCFPK,EntL,7,0,51.45454,-0.03466,EntL
910GCFPK-1001076-EntM-6,910GCFPK,EntM,6,0,51.45426,-0.0351,EntM
910GCFPK-1001076-FBdg-8,910GCFPK,FBdg,8,1,51.45533,-0.03677,FBdg
910GCFPK-1001076-RLY-4,910GCFPK,RLY,4,0,51.45522,-0.03683,RLY
910GCFPK-1001076-RPL-N-2,910GCFPK,RPL-N,2,0,51.45512,-0.03674,RPL-N
910GCFPK-1001076-RPL-S-3,910GCFPK,RPL-S,3,0,51.45521,-0.03665,RPL-S
910GCHDWLHT-1001055-Bus-1,910GCHDWLHT,Bus,1,0,51.56826,0.12985,Bus
910GCHDWLHT-1001055-EntS-3,910GCHDWLHT,EntS,3,0,51.56807,0.1297,EntS
910GCHDWLHT-1001055-FBdg-6,910GCHDWLHT,FBdg,6,0,51.5682,0.12992,FBdg
910GCHDWLHT-1001055-RLY-4,910GCHDWLHT,RLY,4,0,51.56797,0.12946,RLY
910GCHDWLHT-1001055-RPL1-2,910GCHDWLHT,RPL1,2,-1,51.56799,0.12943,RPL1
910GCHDWLHT-1001055-RPL2-5,910GCHDWLHT,RPL2,5,-1,51.56809,0.12939,RPL2
910GCHDWLHT-1001055-RPL3-7,910GCHDWLHT,RPL3,7,-1,51.56811,0.13006,RPL3
910GCHESHNT-1001532-BRDGE-7,910GCHESHNT,BRDGE,7,1,51.70286,-0.02379,BRDGE
910GCHESHNT-1001532-Bus-3,910GCHESHNT,Bus,3,0,51.70286,-0.02176,Bus
910GCHESHNT-1001532-EntrM-2,910GCHESHNT,EntrM,2,0,51.70292,-0.02425,EntrM
910GCHESHNT-1001532-EntrW-6,910GCHESHNT,EntrW,6,0,51.70315,-0.02361,EntrW
910GCHESHNT-1001532-RLY-5,910GCHESHNT,RLY,5,0,51.70287,-0.02396,RLY
910GCHESHNT-1001532-RPL-N-1,910GCHESHNT,RPL-N,1,0,51.7025,-0.02409,RPL-N
910GCHESHNT-1001532-RPL-S-4,910GCHESHNT,RPL-S,4,0,51.70249,-0.02392,RPL-S
910GCHINGFD-1001063-Bus-1,910GCHINGFD,Bus,1,0,51.6336,0.01031,Bus
910GCHINGFD-1001063-Entr-3,910GCHINGFD,Entr,3,0,51.63349,0.0101,Entr
910GCHINGFD-1001063-RLY-4,910GCHINGFD,RLY,4,0,51.63308,0.0099,RLY
