UniqueId,StationUniqueId,PlatformNumber,CardinalDirection,PlatformNaptanCode,FriendlyName,IsCustomerFacing,HasServiceInterchange,AccessibleEntranceName,HasStepFreeRouteInformation
HUBWMB-Plat02-SB-bakerloo|london-overground,HUBWMB,2,Southbound,9400ZZLUWYC2,Southbound Platform 2,TRUE,TRUE,,TRUE
HUBWMB-Plat05-NB-national-rail,HUBWMB,5,Northbound,,Northbound Platform 5,TRUE,TRUE,,TRUE
HUBWMB-Plat06-SB-national-rail,HUBWMB,6,Southbound,,Southbound Platform 6,TRUE,TRUE,,TRUE
HUBWRU-Plat01-EB-central,HUBWRU,1,Eastbound,9400ZZLUWRP1,Eastbound Platform 1,TRUE,FALSE,,TRUE
HUBWRU-Plat02-EB-central,HUBWRU,2,Eastbound,9400ZZLUWRP1,Eastbound Platform 2,TRUE,FALSE,,TRUE
HUBWSM-Plat01-WB-circle|district,HUBWSM,1,Westbound,9400ZZLUWSM2,Westbound Platform 1,TRUE,TRUE,,TRUE
HUBWSM-Plat02-EB-circle|district,HUBWSM,2,Eastbound,9400ZZLUWSM1,Eastbound Platform 2,TRUE,TRUE,,TRUE
HUBWSM-Plat03-EB-jubilee,HUBWSM,3,Eastbound,9400ZZLUWSM3,Eastbound Platform 3,TRUE,FALSE,,TRUE
HUBWSM-Plat04-WB-jubilee,HUBWSM,4,Westbound,9400ZZLUWSM4,Westbound Platform 4,TRUE,FALSE,,TRUE
HUBWWA-Plat01-WB-thameslink,HUBWWA,1,Westbound,,Westbound Platform 1,TRUE,FALSE,,FALSE
HUBWWA-Plat02-EB-thameslink,HUBWWA,2,Eastbound,,Eastbound Platform 2,TRUE,FALSE,,FALSE
HUBWWA-Plat03-NB-dlr,HUBWWA,3,Northbound,,Northbound Platform 3,TRUE,FALSE,,TRUE
HUBWWA-Plat04-NB-dlr,HUBWWA,4,Northbound,,Northbound Platform 4,TRUE,FALSE,,TRUE
HUBZCW-Plat01-WB-jubilee,HUBZCW,1,Westbound,9400ZZLUCWR3,Westbound Platform 1,TRUE,FALSE,,TRUE
HUBZCW-Plat02-EB-jubilee,HUBZCW,2,Eastbound,9400ZZLUCWR2,Eastbound Platform 2,TRUE,FALSE,,TRUE
HUBZCW-Plat03-SB-london-overground,HUBZCW,3,Southbound,9100CNDAW2,Southbound Platform 3,TRUE,FALSE,,TRUE
HUBZCW-Plat04-NB-london-overground,HUBZCW,4,Northbound,9100CNDAW1,Northbound Platform 4,TRUE,FALSE,,TRUE
HUBZFD-Plat01-EB-circle|hammersmith-city|metropolitan,HUBZFD,1,Eastbound,9400ZZLUFCN1,Eastbound Platform 1,TRUE,TRUE,,TRUE
HUBZFD-Plat02-WB-circle|hammersmith-city|metropolitan,HUBZFD,2,Westbound,9400ZZLUFCN2,Westbound Platform 2,TRUE,TRUE,,TRUE
HUBZFD-Plat03-SB-thameslink,HUBZFD,3,Southbound,,Southbound Platform 3,TRUE,FALSE,,TRUE
HUBZFD-Plat04-NB-thameslink,HUBZFD,4,Northbound,,Northbound Platform 4,TRUE,FALSE,,TRUE
HUBZFD-PlatA-EB-elizabeth,HUBZFD,A,Eastbound,,Eastbound Platform A,TRUE,FALSE,,TRUE
HUBZFD-PlatB-WB-elizabeth,HUBZFD,B,Westbound,,Westbound Platform B,TRUE,FALSE,,TRUE
HUBZMG-Plat01-EB-circle|hammersmith-city|metropolitan,HUBZMG,1,Eastbound,9400ZZLUMGT1,Eastbound Platform 1,TRUE,FALSE,,TRUE
HUBZMG-Plat02-WB-circle|hammersmith-city|metropolitan,HUBZMG,2,Westbound,9400ZZLUMGT2,Westbound Platform 2,TRUE,FALSE,,TRUE
HUBZMG-Plat03-WB-circle|hammersmith-city|metropolitan,HUBZMG,3,Westbound,9400ZZLUMGT2,Westbound Platform 3,TRUE,FALSE,,TRUE
HUBZMG-Plat04-WB-circle|hammersmith-city|metropolitan,HUBZMG,4,Westbound,9400ZZLUMGT2,Westbound Platform 4,TRUE,FALSE,,TRUE
HUBZMG-Plat07-NB-northern,HUBZMG,7,Northbound,9400ZZLUMGT3,Northbound Platform 7,TRUE,FALSE,,TRUE
HUBZMG-Plat08-SB-northern,HUBZMG,8,Southbound,9400ZZLUMGT4,Southbound Platform 8,TRUE,FALSE,,TRUE
HUBZWL-Plat01-EB-district|hammersmith-city,HUBZWL,1,Eastbound,9400ZZLUWPL1,Eastbound Platform 1,TRUE,FALSE,,TRUE
HUBZWL-Plat02-WB-district|hammersmith-city,HUBZWL,2,Westbound,9400ZZLUWPL2,Westbound Platform 2,TRUE,FALSE,,TRUE
HUBZWL-Plat05-NB-london-overground,HUBZWL,5,Northbound,,Northbound Platform 5,TRUE,FALSE,,TRUE
HUBZWL-Plat06-SB-london-overground,HUBZWL,6,Southbound,,Southbound Platform 6,TRUE,FALSE,,TRUE
HUBZWL-PlatA-EB-elizabeth,HUBZWL,A,Eastbound,,Eastbound Platform A,TRUE,FALSE,,TRUE
HUBZWL-PlatB-WB-elizabeth,HUBZWL,B,Westbound,,Westbound Platform B,TRUE,FALSE,,TRUE
940GZZBPSUST-Plat01-NB-northern,940GZZBPSUST,1,Northbound,9400ZZBPSUST1,Northbound,TRUE,FALSE,,TRUE
940GZZBPSUST-Plat02-NB-northern,940GZZBPSUST,2,Northbound,9400ZZBPSUST2,Northbound,TRUE,FALSE,,TRUE
940GZZNEUGST-Plat01-NB-northern,940GZZNEUGST,1,Northbound,9400ZZNEUGST1,Northbound,TRUE,FALSE,,TRUE
940GZZNEUGST-Plat02-SB-northern,940GZZNEUGST,2,Southbound,9400ZZNEUGST2,Southbound,TRUE,FALSE,,TRUE
910GBKRVS-Plat01-WB-london-overground,910GBKRVS,1,Westbound,,Westbound Platform 1,TRUE,FALSE,,TRUE
910GBKRVS-Plat02-WB-london-overground,910GBKRVS,2,Westbound,,Westbound Platform 2,TRUE,FALSE,,TRUE
