StationUniqueId,Id,IsAccessible,HasBabyChanging,IsInsideGateLine,Location,IsFeeCharged,Type,IsManagedByTfL
940GZZLUALP,2,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUBEC,1,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Male,TRUE
940GZZLUBEC,2,FALSE,TRUE,TRUE,Located on platform 1,FALSE,Female,TRUE
940GZZLUBKE,1,FALSE,FALSE,TRUE,Located on platform 2,FALSE,Male,TRUE
940GZZLUBKE,2,FALSE,TRUE,TRUE,Located on platform 1,FALSE,Female,TRUE
940GZZLUBKH,1,FALSE,FALSE,TRUE,Located on platform 2,FALSE,Male,TRUE
940GZZLUBKH,2,FALSE,FALSE,TRUE,Located on platform 2,FALSE,Female,TRUE
940GZZLUBOS,1,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Male,TRUE
940GZZLUBOS,2,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUBSC,1,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,Male,TRUE
940GZZLUBSC,2,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUBST,1,FALSE,FALSE,TRUE,Located in corridor to platform 5,FALSE,Male,TRUE
940GZZLUBST,2,FALSE,TRUE,FALSE,Located in Metropolitan line ticket hall,FALSE,Female,TRUE
940GZZLUCKS,1,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Male,TRUE
940GZZLUCKS,2,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUCPK,1,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,Male,TRUE
940GZZLUCPK,2,FALSE,TRUE,TRUE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUCPK,3,TRUE,FALSE,TRUE,Located in ticket hall,FALSE,Unisex,TRUE
940GZZLUCSM,1,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Male,TRUE
940GZZLUCSM,2,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Female,TRUE
940GZZLUCWL,1,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Male,TRUE
940GZZLUCWL,2,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Female,TRUE
940GZZLUCXY,1,FALSE,FALSE,TRUE,Located on platforms 1 & 2,FALSE,Male,TRUE
940GZZLUCXY,2,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUDBN,1,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Male,TRUE
940GZZLUDBN,2,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Female,TRUE
940GZZLUDGE,1,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Male,TRUE
940GZZLUDGE,2,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Female,TRUE
940GZZLUDGY,1,FALSE,FALSE,TRUE,Located on platform,FALSE,Male,TRUE
940GZZLUDGY,2,FALSE,FALSE,TRUE,Located on platform,FALSE,Female,TRUE
940GZZLUDGY,3,TRUE,FALSE,TRUE,Located on platform,FALSE,Unisex,TRUE
940GZZLUDOH,1,FALSE,FALSE,TRUE,Located on platform,FALSE,Male,TRUE
940GZZLUDOH,2,FALSE,TRUE,TRUE,Located on platform,FALSE,Female,TRUE
940GZZLUDOH,3,TRUE,FALSE,TRUE,Located on platform,FALSE,Unisex,TRUE
940GZZLUEAE,1,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Male,TRUE
940GZZLUEAE,2,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUECM,1,FALSE,FALSE,TRUE,Located on platform 2,FALSE,Male,TRUE
940GZZLUECM,2,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Female,TRUE
940GZZLUECT,3,TRUE,FALSE,TRUE,Located in Earl's Court Road ticket hall,FALSE,Unisex,FALSE
940GZZLUEPG,1,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Male,TRUE
940GZZLUEPG,2,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Female,TRUE
940GZZLUEPG,3,TRUE,TRUE,TRUE,Located on platform 2,FALSE,Unisex,TRUE
940GZZLUEPK,1,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Male,TRUE
940GZZLUEPK,2,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Female,TRUE
940GZZLUEPK,3,TRUE,FALSE,TRUE,Located on platform 1,FALSE,Unisex,TRUE
940GZZLUFLP,1,FALSE,FALSE,TRUE,Located on platform 2,FALSE,Male,TRUE
940GZZLUFLP,2,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Female,TRUE
940GZZLUFYC,3,TRUE,FALSE,TRUE,Located on platform 3,FALSE,Unisex,TRUE
940GZZLUFYR,1,TRUE,TRUE,TRUE,Located in ticket hall,FALSE,Male,TRUE
940GZZLUFYR,2,TRUE,TRUE,TRUE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUGGH,1,FALSE,FALSE,TRUE,Located on platform 2,FALSE,Male,TRUE
940GZZLUGGH,2,FALSE,FALSE,TRUE,Located on platform 2,FALSE,Female,TRUE
940GZZLUGPK,1,FALSE,FALSE,FALSE,Located in subway,TRUE,Male,FALSE
940GZZLUGPK,2,FALSE,FALSE,FALSE,Located in subway,TRUE,Female,FALSE
940GZZLUHBT,1,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Male,TRUE
940GZZLUHBT,2,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Female,TRUE
940GZZLUHBT,3,TRUE,FALSE,TRUE,Located on platform 1,FALSE,Unisex,TRUE
940GZZLUHCH,1,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Male,TRUE
940GZZLUHCH,2,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Female,TRUE
940GZZLUHCL,1,TRUE,FALSE,FALSE,Located in ticket hall,FALSE,Unisex,TRUE
940GZZLUHGD,1,FALSE,FALSE,TRUE,Located on platform 2,FALSE,Male,TRUE
940GZZLUHGD,2,FALSE,FALSE,TRUE,Located on platform 2,FALSE,Female,TRUE
940GZZLUHGD,3,TRUE,FALSE,TRUE,Located on platform 1,FALSE,Unisex,TRUE
940GZZLUHGR,1,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Male,TRUE
940GZZLUHGR,2,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUHLT,1,TRUE,FALSE,FALSE,Located in ticket hall,FALSE,Unisex,TRUE
940GZZLUHWC,1,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,Male,TRUE
940GZZLUHWC,2,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUHWE,1,TRUE,TRUE,TRUE,Located in ticket hall,FALSE,Unisex,TRUE
940GZZLUKBN,1,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Male,TRUE
940GZZLUKBN,2,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUKBN,3,TRUE,TRUE,TRUE,Located on platform,FALSE,Unisex,TRUE
940GZZLUKBY,1,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,Male,TRUE
940GZZLUKBY,2,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUKBY,3,TRUE,TRUE,TRUE,Located in ticket hall,FALSE,Unisex,TRUE
940GZZLULGN,1,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Male,TRUE
940GZZLULGN,2,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Female,TRUE
940GZZLULYN,1,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Male,TRUE
940GZZLULYN,2,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Female,TRUE
940GZZLULYS,1,FALSE,FALSE,TRUE,Located on platform 2,FALSE,Male,TRUE
940GZZLULYS,2,FALSE,FALSE,TRUE,Located on platform 3,FALSE,Female,TRUE
940GZZLUMPK,1,FALSE,FALSE,TRUE,Located on platform 4,FALSE,Male,TRUE
940GZZLUMPK,2,FALSE,FALSE,TRUE,Located on platform 4,FALSE,Female,TRUE
940GZZLUNBP,1,FALSE,FALSE,TRUE,Located on platform 1,FALSE,Male,TRUE
940GZZLUNBP,2,FALSE,TRUE,TRUE,Located on platforms 1 & 2,FALSE,Female,TRUE
940GZZLUNEN,1,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,Male,TRUE
940GZZLUNEN,2,FALSE,TRUE,FALSE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUNFD,1,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Male,TRUE
940GZZLUNFD,2,FALSE,TRUE,FALSE,Located in ticket hall,FALSE,Female,TRUE
940GZZLUNHA,1,FALSE,FALSE,TRUE,Located in ticket hall,FALSE,Male,TRUE
940GZZLUNHA,2,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Female,TRUE
