StationUniqueId,LiftUniqueId,LiftId,NationalRailUprn,LiftName,FriendlyName,FromAreas,IntermediateAreas,IntermediateAreas2,ToAreas,LimitedCapacityLift,LiftNotes
HUBVIC,HUBVIC-Lift-G7,G7,,G,Lift G7,HUBVIC-1000248-NInt-73,,,HUBVIC-1000248-VicNB-4|HUBVIC-1000248-VicSB-5,False,
HUBVXH,HUBVXH-Lift-1,1,,,Lift 1,HUBVXH-1000247-B-B-E-5,,,HUBVXH-1000247-BookH-10,False,
HUBVXH,HUBVXH-Lift-2,2,,,Lift 2,HUBVXH-1000247-BookH-10,,,HUBVXH-1000247-Victo-2,False,
HUBWAT,HUBWAT-Lift-1,1,,,Lift 1 ,HUBWAT-1000254-WCArr-20,,,HUBWAT-1000254-BookM-18,False,
HUBWAT,HUBWAT-Lift-2,2,,,Lift 2,HUBWAT-1000254-BookJ-1,HUBWAT-1000254-IntJu-19,,HUBWAT-1000254-Jubil-2,False,
HUBWAT,HUBWAT-Lift-3,3,,,Lift 3,HUBWAT-1000254-BookM-18,HUBWAT-1000254-TSC-23,,HUBWAT-1000254-RPL-14,False,
HUBWAT,HUBWAT-Lift-4,4,,,Lift 4,HUBWAT-1000254-B-WOR-13,,,HUBWAT-1000254-RPL-14,False,
HUBWBP,HUBWBP-Lift-3,3,,,Lift 3,HUBWBP-1000260-RLY-6,,,HUBWBP-1000260-RPL S-1,False,
HUBWBP,HUBWBP-Lift-4,4,,,Lift 4,HUBWBP-1000260-RLY-6,,,HUBWBP-1000260-RPL N-2,False,
HUBWEH,HUBWEH-Lift-1,1,,,Lift 1,HUBWEH-1000262-BookH-6,,,HUBWEH-1000262-Footb-1,False,
HUBWEH,HUBWEH-Lift-2,2,,,Lift 2,HUBWEH-1000262-Footb-1,,,HUBWEH-1000262-Jubil-2,False,
HUBWEH,HUBWEH-Lift-4,4,,,Lift 4,HUBWEH-1000262-BookH-6,,,HUBWEH-1000262-Dist-4,False,
