PlatformUniqueId,StopAreaNaptanCode,Line,DirectionTowards,MinGap,MaxGap,AverageGap,MinStep,MaxStep,AverageStep,DesignatedLevelAccessPoint,LocationOfLevelAccess,LevelAccessByManualRamp,AdditionalAccessibilityInformation,GroupName
910GELTR-Plat02-NB-thameslink,910GELTR,thameslink,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GELTR-Plat03-SB-thameslink,910GELTR,thameslink,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GELTR-Plat04-NB-thameslink,910GELTR,thameslink,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GEMRSPKH-Plat01-EB-london-overground,910GEMRSPKH,london-overground,Upminster,,,,,,,False,,TRUE,,
910GEMRSPKH-Plat01-WB-london-overground,910GEMRSPKH,london-overground,Romford,,,,,,,False,,TRUE,,
910GENFLDTN-Plat02-SB-london-overground,910GENFLDTN,london-overground,Liverpool Street,,,,,,,False,,TRUE,,
910GESTFLDS-Plat01-NB-national-rail,910GESTFLDS,national-rail,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GESTFLDS-Plat02-SB-national-rail,910GESTFLDS,national-rail,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GFNCHLYR-Plat01-WB-london-overground,910GFNCHLYR,london-overground,,,,,,,,False,,False,,
910GFNCHLYR-Plat02-EB-london-overground,910GFNCHLYR,london-overground,,,,,,,,False,,False,,
910GFORESTH-Plat01-NB-london-overground,910GFORESTH,london-overground,Highbury & Islington,,,,,,,False,,TRUE,Use the Devonshire Road entrance for step-free access,
910GFORESTH-Plat02-SB-london-overground,910GFORESTH,london-overground,Crystal Palace and West Croydon,,,,,,,False,,TRUE,Use the Devonshire Road entrance for step-free access,
910GFRSTGT-Plat01-WB-elizabeth,910GFRSTGT,elizabeth,Liverpool Street,,,,,,,False,,TRUE,,
910GFRSTGT-Plat02-EB-elizabeth,910GFRSTGT,elizabeth,Shenfield,,,,,,,False,,TRUE,,
910GFRSTGT-Plat03-WB-elizabeth,910GFRSTGT,elizabeth,Liverpool Street,,,,,,,False,,TRUE,,
910GFRSTGT-Plat04-EB-elizabeth,910GFRSTGT,elizabeth,Shenfield,,,,,,,False,,TRUE,,
910GGIDEAPK-Plat01-WB-elizabeth,910GGIDEAPK,elizabeth,Liverpool Street,,,,,,,False,,TRUE,Use the Crossways entrance for step-free access,
910GGIDEAPK-Plat02-EB-elizabeth,910GGIDEAPK,elizabeth,Shenfield,,,,,,,False,,TRUE,Use the Crossways entrance for step-free access,
910GGIDEAPK-Plat03-WB-elizabeth,910GGIDEAPK,elizabeth,Liverpool Street,,,,,,,False,,TRUE,Use the Crossways entrance for step-free access,
