pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional
910GBROCKLY-1001035-CEntr-2-910GBROCKLY-1001035-RLY-3-ramp,910GBROCKLY-1001035-CEntr-2,910GBROCKLY-1001035-RLY-3,1,1
910GBROCKLY-1001035-CEntr-2-910GBROCKLY-1001035-RPL-S-1-same_level,910GBROCKLY-1001035-CEntr-2,910GBROCKLY-1001035-RPL-S-1,1,1
910GBROCKLY-1001035-MEntr-5-910GBROCKLY-1001035-RLY-3-ramp,910GBROCKLY-1001035-MEntr-5,910GBROCKLY-1001035-RLY-3,1,1
910GBROCKLY-1001035-RPL-N-6-910GBROCKLY-Plat01-NB-london-overground-same_level,910GBROCKLY-1001035-RPL-N-6,910GBROCKLY-Plat01-NB-london-overground,1,1
910GBROCKLY-Outside-910GBROCKLY-Plat02-SB-london-overground-same_level,910GBROCKLY-Outside,910GBROCKLY-Plat02-SB-london-overground,1,1
910GBROMLYS-1001037-Bus-1-910GBROMLYS-1001037-Entr-90-same_level,910GBROMLYS-1001037-Bus-1,910GBROMLYS-1001037-Entr-90,1,1
910GBROMLYS-1001037-Con-71-910GBROMLYS-1001037-Entr-90-same_level,910GBROMLYS-1001037-Con-71,910GBROMLYS-1001037-Entr-90,1,1
910GBROMLYS-1001037-Con-71-910GBROMLYS-1001037-RPL E-2-lift-910GBROMLYS-Lift-1,910GBROMLYS-1001037-Con-71,910GBROMLYS-1001037-RPL E-2,5,1
910GBROMLYS-1001037-Con-71-910GBROMLYS-1001037-RPL W-3-lift-910GBROMLYS-Lift-2,910GBROMLYS-1001037-Con-71,910GBROMLYS-1001037-RPL W-3,5,1
910GBROMLYS-1001037-RPL E-2-910GBROMLYS-Plat03-NB-thameslink-same_level,910GBROMLYS-1001037-RPL E-2,910GBROMLYS-Plat03-NB-thameslink,1,1
910GBROMLYS-1001037-RPL E-2-910GBROMLYS-Plat04-SB-thameslink-same_level,910GBROMLYS-1001037-RPL E-2,910GBROMLYS-Plat04-SB-thameslink,1,1
910GBROMLYS-1001037-RPL W-3-910GBROMLYS-Plat01-NB-thameslink-same_level,910GBROMLYS-1001037-RPL W-3,910GBROMLYS-Plat01-NB-thameslink,1,1
910GBROMLYS-1001037-RPL W-3-910GBROMLYS-Plat02-SB-thameslink-same_level,910GBROMLYS-1001037-RPL W-3,910GBROMLYS-Plat02-SB-thameslink,1,1
910GBROMLYS-Outside-910GBROMLYS-1001037-Entr-90-same_level,910GBROMLYS-Outside,910GBROMLYS-1001037-Entr-90,1,1
910GBROMLYS-Outside-910GBROMLYS-Plat01-NB-thameslink-same_level,910GBROMLYS-Outside,910GBROMLYS-Plat01-NB-thameslink,1,1
910GBROMLYS-Outside-910GBROMLYS-Plat02-SB-thameslink-same_level,910GBROMLYS-Outside,910GBROMLYS-Plat02-SB-thameslink,1,1
910GBRTWOOD-1000292-EntA-90-910GBRTWOOD-1000292-RPL-4-4-same_level,910GBRTWOOD-1000292-EntA-90,910GBRTWOOD-1000292-RPL-4-4,1,1
910GBRTWOOD-1000292-EntK-6-910GBRTWOOD-1000292-FBdg-7-same_level,910GBRTWOOD-1000292-EntK-6,910GBRTWOOD-1000292-FBdg-7,1,1
910GBRTWOOD-1000292-EntK-6-910GBRTWOOD-Outside-same_level,910GBRTWOOD-1000292-EntK-6,910GBRTWOOD-Outside,1,1
910GBRTWOOD-1000292-FBdg-7-910GBRTWOOD-1000292-RPL-1-1-lift-910GBRTWOOD-Lift-1,910GBRTWOOD-1000292-FBdg-7,910GBRTWOOD-1000292-RPL-1-1,5,1
910GBRTWOOD-1000292-FBdg-7-910GBRTWOOD-1000292-RPL-2-2-lift-910GBRTWOOD-Lift-2,910GBRTWOOD-1000292-FBdg-7,910GBRTWOOD-1000292-RPL-2-2,5,1
910GBRTWOOD-1000292-RPL-2-2-910GBRTWOOD-Plat03-WB-elizabeth-same_level,910GBRTWOOD-1000292-RPL-2-2,910GBRTWOOD-Plat03-WB-elizabeth,1,1
910GBRTWOOD-1000292-RPL-4-4-910GBRTWOOD-Plat04-EB-elizabeth-same_level,910GBRTWOOD-1000292-RPL-4-4,910GBRTWOOD-Plat04-EB-elizabeth,1,1
910GBRTWOOD-Outside-910GBRTWOOD-1000292-EntA-90-same_level,910GBRTWOOD-Outside,910GBRTWOOD-1000292-EntA-90,1,1
910GBRTWOOD-Plat01-WB-elizabeth-910GBRTWOOD-1000292-RPL-1-1-same_level,910GBRTWOOD-Plat01-WB-elizabeth,910GBRTWOOD-1000292-RPL-1-1,1,1
910GBRTWOOD-Plat02-EB-elizabeth-910GBRTWOOD-1000292-RPL-2-2-same_level,910GBRTWOOD-Plat02-EB-elizabeth,910GBRTWOOD-1000292-RPL-2-2,1,1
910GBRUCGRV-1001040-Bus 1-1-910GBRUCGRV-1001040-Bus 2-5-same_level,910GBRUCGRV-1001040-Bus 1-1,910GBRUCGRV-1001040-Bus 2-5,1,1
910GBRUCGRV-1001040-Bus 1-1-910GBRUCGRV-1001040-Ent-N-7-same_level,910GBRUCGRV-1001040-Bus 1-1,910GBRUCGRV-1001040-Ent-N-7,1,1
910GBRUCGRV-1001040-Bus 1-1-910GBRUCGRV-1001040-Ent-S-3-same_level,910GBRUCGRV-1001040-Bus 1-1,910GBRUCGRV-1001040-Ent-S-3,1,1
910GBRUCGRV-1001040-Bus 2-5-910GBRUCGRV-1001040-Ent-N-7-same_level,910GBRUCGRV-1001040-Bus 2-5,910GBRUCGRV-1001040-Ent-N-7,1,1
910GBRUCGRV-1001040-Bus 2-5-910GBRUCGRV-1001040-Ent-S-3-same_level,910GBRUCGRV-1001040-Bus 2-5,910GBRUCGRV-1001040-Ent-S-3,1,1
910GBRUCGRV-1001040-Ent-N-7-910GBRUCGRV-1001040-RLY-4-same_level,910GBRUCGRV-1001040-Ent-N-7,910GBRUCGRV-1001040-RLY-4,1,1
910GBRUCGRV-1001040-Ent-S-3-910GBRUCGRV-1001040-RLY-4-same_level,910GBRUCGRV-1001040-Ent-S-3,910GBRUCGRV-1001040-RLY-4,1,1
910GBTHNLGR-1001023-Entr-2-910GBTHNLGR-1001023-RLY-3-same_level,910GBTHNLGR-1001023-Entr-2,910GBTHNLGR-1001023-RLY-3,1,1
910GCAMHTH-1001044-Bus-1-910GCAMHTH-1001044-CAMBR-3-same_level,910GCAMHTH-1001044-Bus-1,910GCAMHTH-1001044-CAMBR-3,1,1
910GCAMHTH-1001044-CAMBR-3-910GCAMHTH-1001044-RLY-5-same_level,910GCAMHTH-1001044-CAMBR-3,910GCAMHTH-1001044-RLY-5,1,1
910GCATFORD-1001053-Entr-4-910GCATFORD-1001053-RPL N-1-lift-910GCATFORD-Lift-1,910GCATFORD-1001053-Entr-4,910GCATFORD-1001053-RPL N-1,5,1
